File_ID,error_source,error_relpath,overt_past_finite_verbs,bare_past_error_tokens,past_verb_opportunities,past_overgeneralization_errors,past_overgeneralization_errors_per_past_opp
pair_sli413_td439_rep01_TD_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep01_TD_bundle.cha,data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep01_TD_bundle.cha,56,0,56,0,0.0
pair_sli413_td439_rep02_TD_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep02_TD_bundle.cha,data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep02_TD_bundle.cha,55,0,55,0,0.0
pair_sli413_td439_rep03_TD_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep03_TD_bundle.cha,data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep03_TD_bundle.cha,52,0,52,0,0.0
pair_sli413_td439_rep04_TD_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep04_TD_bundle.cha,data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep04_TD_bundle.cha,42,0,42,0,0.0
pair_sli413_td439_rep05_TD_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep05_TD_bundle.cha,data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep05_TD_bundle.cha,42,0,42,0,0.0
pair_sli413_td439_rep06_TD_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep06_TD_bundle.cha,data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep06_TD_bundle.cha,60,0,60,0,0.0
pair_sli413_td439_rep07_TD_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep07_TD_bundle.cha,data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep07_TD_bundle.cha,64,0,64,0,0.0
pair_sli413_td439_rep08_TD_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep08_TD_bundle.cha,data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep08_TD_bundle.cha,37,0,37,0,0.0
pair_sli413_td439_rep09_TD_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep09_TD_bundle.cha,data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep09_TD_bundle.cha,60,0,60,1,0.016666666666666666
pair_sli413_td439_rep10_TD_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep10_TD_bundle.cha,data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli413_td439_rep10_TD_bundle.cha,42,0,42,0,0.0
pair_sli427_td406_rep01_TD_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli427_td406_rep01_TD_bundle.cha,data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli427_td406_rep01_TD_bundle.cha,19,0,19,0,0.0
pair_sli427_td406_rep02_TD_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli427_td406_rep02_TD_bundle.cha,data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli427_td406_rep02_TD_bundle.cha,35,0,35,0,0.0
pair_sli427_td406_rep03_TD_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli427_td406_rep03_TD_bundle.cha,data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli427_td406_rep03_TD_bundle.cha,43,0,43,0,0.0
pair_sli427_td406_rep04_TD_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli427_td406_rep04_TD_bundle.cha,data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli427_td406_rep04_TD_bundle.cha,43,0,43,0,0.0
pair_sli427_td406_rep05_TD_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli427_td406_rep05_TD_bundle.cha,data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli427_td406_rep05_TD_bundle.cha,32,0,32,1,0.03125
pair_sli427_td406_rep06_TD_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli427_td406_rep06_TD_bundle.cha,data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli427_td406_rep06_TD_bundle.cha,48,0,48,0,0.0
pair_sli427_td406_rep07_TD_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli427_td406_rep07_TD_bundle.cha,data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli427_td406_rep07_TD_bundle.cha,22,1,23,0,0.0
pair_sli427_td406_rep08_TD_bundle,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli427_td406_rep08_TD_bundle.cha,data/generated/test2/reannotated/bundled_synthetic_children/stage1_td/pair_sli427_td406_rep08_TD_bundle.cha,51,0,51,0,0.0
