condition,sample_id,temperature,output_story
Zero-Shot (Rule-Based),1,0.7,"The little boy and the dog have a frog. The frog go in the jar. They are happy. The little boy and the dog go to sleep.

The frog go out. He go for a walk. The little boy wake up. The frog gone. The little boy look in shoes. He look everywhere.

The dog look in jar. His head get stuck. The little boy and the dog open window. They yell for frog. Frog, where you?

The little dog fall out window. He break jar off head. He lick the boy. The boy sad. The jar is broke.

The little boy and dog go to forest. They look for frog. The dog see bees. He want to play with bees. The little boy look down in hole.

The dog is playing with bees. He try to catch bees. The boy say 'Frog, where you?' A prairie dog hit him.

The dog is howling. The bees go after him. The owl hit the little boy. He fall down. The bees chase dog.

The boy climb on rock. He say 'Frog, where you?' He is on deer. The deer is big. The boy get stuck on deer's head.

The deer run. He come with dog. The dog worry. The deer stop at cliff. The little boy and dog fall down. They go in water. Splash.

The boy say 'Shh' to dog. 'Let's look on log.' They see mommy frog. They see daddy frog. They see little frog. They see frog family.

The boy and dog take frog. They say goodbye. They go home. Everyone is happy. The end."
Zero-Shot (Rule-Based),2,0.7,"The boy and the dog have a frog. The frog go in the jar. They happy. They go to sleep.

The frog come out. He walk. The boy and dog wake up. Frog no there.

The boy look in shoes. He look everywhere. The dog look in jar. His head stuck.

They yell for frog. 'Frog, where you?' The dog fall out window. He break jar. He lick boy.

They go in forest. The dog see bees. The boy look in hole. The dog play with bees.

The boy say 'Frog, where you?' Prairie dog hit him. The dog howl at bees. Owl knock boy down. The bees chase dog.

The boy climb on rock. He say 'Frog, where you?' He stuck on deer. Deer run. Boy and dog go down cliff. They in water. Splash.

The boy hear something. He say 'Shh' to dog. They look on log. They see mommy frog. They see daddy frog. They see baby frogs.

The boy take frog. They say goodbye. They go home. The boy and dog happy."
Zero-Shot (Rule-Based),3,0.7,"The little boy and dog put frog in jar. They happy. They go sleep. Frog get out, go walk.

Next morning, frog gone. They can't find. Boy look in shoes, everywhere. Dog look in jar, head get stuck.

They open window, yell for frog. 'Frog, where you?' Dog fall out window. Jar break off dog's head, dog lick boy. Boy no happy.

They go forest, look for frog. Dog play with bumblebees, try catch. Boy look down, say 'Frog, where you?' Prairie dog smack boy nose. Dog howl at bumblebees.

Boy climb on big rock, say 'Frog, where you?' He hold branch, but it deer antler. Boy get stuck on deer's head. Deer run, get boy off. Dog come with deer.

Deer stop at cliff, boy and dog fall in water. Splash! Boy say 'Shh' to dog. 'Let's look on log.' They see mommy frog, daddy frog, little frogs. They take frog, say goodbye, go home. Everyone happy."
Zero-Shot (Rule-Based),4,0.7,"The boy and dog put frog in jar. They happy. They go sleep.

Frog get out when they sleep. Frog go walk.

Boy wake up, frog gone. Boy look shoes, everywhere. Dog look in jar, head stuck.

They yell for frog. 'Frog, where you?' Dog fall out window. Jar break, dog lick boy.

Boy and dog go forest. Dog like bumblebees. Boy look down hole.

Prairie dog hit boy nose. Bumblebees chase dog. Owl knock boy down.

Boy climb rock. 'Frog, where you?' Boy stuck on deer's head.

Deer run. Boy and dog down cliff. In water.

Boy say 'Shh' to dog. Look other side log. See mommy frog, daddy frog, little frog.

They take frog, say goodbye. Go home. Happy."
Zero-Shot (Rule-Based),5,0.7,"The little boy and the dog have a frog. They put frog in jar. They are happy. They go to bed.

The frog get out. He go for walk. The boy wake up. Frog is gone. He look in shoes. He look everywhere.

The dog look in jar. His head get stuck. They decide yell for frog. 'Frog where you?' The dog fall out window. He break jar. He lick boy. Boy no happy.

They go forest. They look for frog. Dog see bumblebees. Boy look down hole. Dog play with bumblebees.

The boy say 'Frog where you?' Prairie dog hit him. Dog howl at bumblebees. Owl knock boy down. Bumblebees chase dog.

The boy climb rock. He say 'Frog where you?' He hold branch. It deer's antler. Boy get stuck. Deer run. Dog come. Deer stop at cliff. Boy and dog fall down. They splash in water.

The boy hear something. He say 'Shh' to dog. 'Let's look on other side log.' They see mommy frog. They see daddy frog. They see frogs. They take frog. They go home. Everyone happy."
Zero-Shot (Rule-Based),6,0.7,"The boy and dog put frog in the jar. They happy. Then they go to bed. 

At night, frog get out. Frog go for a walk. 

Next day, boy and dog wake up. Frog gone. They look everywhere. Boy look in shoes. Dog look in jar. His head get stuck. 

They yell for frog. 'Frog, where you?' Dog fall out window. Dog break jar on head. Dog lick boy. Boy sad. Jar break. 

They go to forest. Boy look down hole. Dog play with bees. Bees come from big house. Dog try catch bees. 

Boy say 'Frog, where you?' Prairie dog hit boy nose. Dog howl at bees. Owl knock boy down. Bees chase dog. 

Boy climb on big rock. Say 'Frog, where you?' Boy hold onto stick. But it deer's head. Deer run. Boy get stuck. Dog come with deer. Deer stop at edge. Boy and dog fall down. Splash. Water. 

Boy say 'Shh' to dog. 'Let's look on other side.' Boy and dog see mommy frog. Daddy frog. Little frogs. They get frog. Say goodbye. Go home."
Zero-Shot (Rule-Based),7,0.7,"The little boy and the dog have a frog. They put the frog in a jar. They are happy. They go to bed.

The frog gets out of the jar. He goes for a walk. The boy and dog wake up. The frog is gone. They look everywhere.

The boy looks in his shoes. He looks everywhere. The dog looks in the jar. His head gets stuck.

They yell for the frog. 'Frog, where are you?' The dog falls out the window. He breaks the jar. He licks the boy. The boy is sad.

They go to the forest. They look for the frog. The dog sees bees. The boy looks down a hole. The dog plays with the bees.

The boy says 'Frog, where are you?' A prairie dog hits him. The dog howls at the bees. The bees chase the dog.

The boy climbs on a rock. He says 'Frog, where are you?' He gets stuck on a deer's head. The deer runs. The dog comes with him.

The deer runs down a cliff. The boy and dog fall in the water. They splash. They hear something.

The boy says 'Shh' to the dog. They look on the other side of a log. They see mommy and daddy frog. They see little frog's family. They take little frog. They say goodbye. They go home. Everyone is happy."
Zero-Shot (Rule-Based),8,0.7,"The little boy have frog in jar. They happy. They go bed. Frog go out, walk around.

The little boy wake up. Frog gone. They look everywhere. They yell 'Frog, where you?' The dog fall out window. He get jar stuck on head.

They go forest, look for frog. Dog like bumblebees. The little boy look down hole. Dog play with bumblebees.

The boy say 'Frog, where you?' Prairie dog hit him nose. Dog howl at bumblebees. Bumblebees chase dog.

The boy climb rock, say 'Frog, where you?' He stuck on deer's head. Deer run, get boy off. Dog come with deer.

The deer run to cliff, boy fall in water. Splash! The boy say 'Shh' to dog. 'Look other side log.' They see mommy frog, daddy frog, little frogs.

They take frog, say goodbye. They go home. Everyone happy."
Zero-Shot (Rule-Based),9,0.7,"The little boy and dog put frog in the jar. They happy. They go to bed. 

Frog get out of jar when boy and dog sleep. Frog go for walk. 

Next morning boy and dog wake up. Frog gone. They look everywhere. Boy look in shoes. Dog look in jar. 

Boy and dog look out window. They yell for frog. 'Frog where you?' Dog fall out window. 

Dog get jar off head. He lick boy. Boy sad. Jar broken. 

Boy and dog go in forest. They look for frog. Dog see bumblebees. He want to catch. 

Boy look in hole. He say 'Frog where you?' Prairie dog hit him. 

Bumblebees chase dog. Dog howl. Owl hit boy. 

Boy climb rock. He say 'Frog where you?' He stuck on deer's head. 

Deer run. Boy and dog fall off. They in water. Splash. 

Boy and dog quiet. They say 'Shh'. They look on other side of log. 

They see mommy frog. Daddy frog. They see baby frogs. They take frog home. They happy."
Zero-Shot (Rule-Based),10,0.7,"The boy and dog put the frog in a jar. They're very happy. The boy and dog go to bed.

That night, the frog get out and go for a walk. He go away. The boy and dog wake up. They can't find the frog.

The boy look in his shoes. He look everywhere. The dog look back in the jar. His head get stuck.

They open the window. They yell for the frog. 'Frog, where are you?' The dog fall out the window.

The dog break the jar. He lick the boy. The boy not happy. The jar is broken.

They go to the forest. They look for the frog. The dog see bumblebees. He want to catch them.

The boy look down in a hole. He see a prairie dog. The prairie dog smack him. The dog howl at the bumblebees.

An owl knock the boy down. The bumblebees chase the dog. The boy climb on a rock. He say 'Frog, where are you?'

The boy get stuck on a deer's head. The deer run. The dog come with him. The deer stop at a cliff. The boy and dog fall in the water.

The boy say 'Shh' to the dog. They look on the other side of the log. They see a mommy frog. They see a daddy frog. They see little frogs.

The boy and dog take the frog. They say goodbye. They go home. Everyone is happy."
