condition,sample_id,temperature,output_story
Zero-Shot (Rule-Based),1,0.7,"The little boy and the dog have a frog. They put frog in jar. They are very happy. They go sleep.

Next morning, the frog gone. He go away. They no know what happen. The little boy look in shoes. He look everywhere. The dog look in jar, but his head get stuck.

They say frog, where you go? They open window. They yell for frog. The dog fall out window. The dog break jar. He lick boy. The boy no happy.

They go forest. They look for frog. The dog see bees. The boy see hole. The dog play with bees. The dog try catch bees.

The boy say frog, where you? A prairie dog smack boy. The dog howl at bees. An owl knock boy down. The bees chase dog.

The boy climb rock. He say frog, where you? He hold branch. It deer's antler. The boy get stuck. The deer run. The dog come. The deer stop at cliff. Down go boy and dog. They fall in water. Splash.

The boy hear something. He say shh to dog. 'Look on log.' They see mommy frog. They see daddy frog. They see frog family. They take frog. They say goodbye. They go home. Everyone happy."
Zero-Shot (Rule-Based),2,0.7,"Little boy and dog have frog. Frog go in jar. They happy. They go sleep.

Next day little boy wake up, dog wake up. Frog gone. He go away. Boy look in shoes. He look everywhere. Dog look back in jar. His head get stuck.

They open window. They yell for frog. 'Frog, where you?' Dog fall out window. Dog break jar on head. He lick boy. Boy no happy.

They go forest. They look for frog. Dog like bumblebees. Boy look down hole. Dog play with bumblebees. Dog try catch.

Boy say 'Frog, where you?' Prairie dog hit boy nose. Dog howl at bumblebees. Bumblebees chase dog.

Boy climb rock. He say 'Frog, where you?' He hold branch. It deer's antler. Boy get stuck. Deer run. Dog come with. Deer stop cliff. Boy, dog fall down. Splash! They in water.

Boy say 'Shh'. He say 'Look log'. What they see? Mommy, daddy frog. They have little frog. They say goodbye. They go home. Everyone happy."
Zero-Shot (Rule-Based),3,0.7,"Boy and dog have frog in jar. They happy. They go to bed. Next night frog get out. Frog go for walk. Boy and dog wake up. Frog gone. Boy look in shoes. Boy look everywhere. Dog look in jar. Dog head get stuck.

They open window. They yell for frog. 'Frog, where you?' Dog fall out window. Dog break jar. Boy not happy. Jar break.

They go to forest. They look for frog. Dog see bumblebees. Boy look down. Dog play with bumblebees. Boy say 'Frog, where you?' Prairie dog hit boy nose. Dog howl at bumblebees. Owl knock boy down. Bumblebees chase dog.

Boy climb on rock. Boy say 'Frog, where you?' Boy hold branch. Branch is deer's antler. Boy get stuck on deer's head. Deer run. Dog come with deer. Deer stop at cliff. Boy and dog go down. Boy and dog splash in water.

Boy say 'Shh' to dog. 'Look on log.' Boy and dog see mommy frog. Mommy frog have family. Boy and dog see frog. They take frog. They say goodbye. They go home. Everyone happy."
Zero-Shot (Rule-Based),4,0.7,"The little boy and dog put frog in jar. They happy. Then they sleep. Frog get out, go for walk. Frog gone. Little boy and dog wake up, frog gone. They look everywhere. Dog get head stuck in jar.

They open window, yell for frog. 'Frog, where you?' Dog fall out window. Jar break. Boy not happy. Jar broke. They go forest, look for frog. Dog see bumblebees, play with them. Little boy look down hole. Boy say 'Frog, where you?' Prairie dog hit him nose. Dog howl at bumblebees. Bumblebees chase dog.

Boy climb rock, say 'Frog, where you?' But it deer's antler. Boy get stuck. Deer run, boy fall off. Dog come with. Deer stop at cliff, boy fall in water. Splash! Boy say 'Shh' to dog. 'Look on other side log.' They see mommy, daddy frog, little frog. They take little frog, say goodbye, go home. Everyone happy."
Zero-Shot (Rule-Based),5,0.7,"The little boy and dog put frog in jar. They was very happy. They go to bed. Frog get out, go for walk when they sleep.

Next morning, frog not there. He go away. Boy and dog no believe. Boy look in shoes, look everywhere. Dog look in jar, but his head stuck.

They open window, yell for frog. 'Frog, where you?' Dog fall out window. Jar break on dog's head, dog lick boy. Boy no happy jar break.

They go to forest, look for frog. Dog see bumblebees, want to catch. Boy look down, see hole. Dog play with bumblebees, boy say 'Frog, where you?'

Prairie dog smack boy's nose. Dog howl at bumblebees. Owl knock boy down. Bumblebees chase dog.

Boy climb on rock, say 'Frog, where you?' He hold branch, but it deer's antler. Boy get stuck on deer's head. Deer run, dog come with him. Deer stop, boy, dog fall down. They go in water, splash.

Boy hear something, say 'Shh' to dog. 'Look on log.' They see mommy, daddy frog, frogs family. They take frog, say goodbye, go home. Everyone happy."
Zero-Shot (Rule-Based),6,0.7,"Boy have dog, they put frog in jar. They happy. They go bed. Frog get out, go walk. Frog gone, boy dog wake up, they look everywhere.

Boy look in shoes, dog look in jar, his head stuck. They yell for frog, 'Frog, where you?' Dog fall out window, break jar, lick boy. Boy sad jar break.

Boy dog go forest, look for frog. Dog play with bumblebees, boy look down hole. Prairie dog smack boy nose, owl knock boy down. Bumblebees chase dog.

Boy climb rock, say 'Frog, where you?' He on deer's head. Deer run, boy dog come. Deer stop, boy dog fall in water. Splash.

Boy quiet, say 'Shh' to dog. 'Look other side log.' Boy dog see mommy frog, daddy frog, frog family. They take little frog, say goodbye. Boy dog go home. Happy."
Zero-Shot (Rule-Based),7,0.7,"The little boy and the dog had a frog. They put the frog in a jar. The jar was in the house. They went to sleep. 

Next morning, the frog was gone. He went away. The little boy looked in his shoes. The dog looked in the jar. His head got stuck in the jar.

They opened the window. They yelled for the frog. 'Frog, where are you?' The dog fell out the window. The dog broke the jar. He licked the boy's face. The boy was sad. 

They went to the forest. They looked for the frog. The dog saw bees. The little boy saw a hole. The dog played with bees. He tried to catch them.

The boy said 'Frog, where are you?' A dog hit him. The dog was howling. Bees chased the dog. The boy climbed a rock. He said 'Frog, where are you?' He was on a deer. The deer ran. The boy fell down. The dog came with him. They went down the cliff. They fell in the water.

The boy said 'Shh' to the dog. They looked on the other side of the log. They saw frogs. They saw mommy frog. They saw daddy frog. They saw little frogs. They took the little frog. They said goodbye. They went home. The boy and dog were happy."
Zero-Shot (Rule-Based),8,0.7,"Little boy and dog put frog in jar. They happy. They go sleep. That night, frog go out of jar. Frog go for walk.

Next morning, frog gone. Frog go away. Little boy and dog sad. Little boy look in shoes. He look everywhere. Dog look back in jar. His head stuck.

They open window. They yell for frog. 'Frog, where you?' Dog fall out window. Dog break jar. He lick little boy. Little boy not happy.

They go forest. They look for frog. Dog see bumblebees. Dog play with bumblebees. Boy look down hole. He see frog. No, he not see frog. Prairie dog hit him nose.

Bumblebees chase dog. Owl knock boy down. Boy climb on rock. He say 'Frog, where you?' He see deer. Deer antler. Boy get stuck. Deer run. Boy and dog go down cliff. They go in water.

Boy say 'Shh'. Dog quiet. They go look on other side log. They see mommy frog. Daddy frog. Little frog. They take frog. Say goodbye. Go home. Happy."
Zero-Shot (Rule-Based),9,0.7,"Boy and dog put frog in jar. They happy. Then they go sleep. Frog get out and go walk. He go far away.

Boy and dog wake up. Frog gone. They look everywhere. Boy look in shoes. Dog look in jar. His head stuck.

They yell for frog. 'Frog, where you?' Dog fall out window. Jar break. Dog lick boy. Boy sad.

They go forest. Look for frog. Dog see bees. Boy see hole. Dog play with bees. Try catch.

Boy say 'Frog, where you?' Prairie dog hit him. Dog howl at bees. Owl knock boy down. Bees chase dog.

Boy climb rock. Say 'Frog, where you?' He on deer's head. Deer run. Dog come with. Deer stop at cliff. Boy and dog fall down. In water. Splash.

Boy say 'Shh'. 'Look log.' Boy and dog see mommy frog. Daddy frog. Baby frogs. They take frog. Say goodbye. Go home."
Zero-Shot (Rule-Based),10,0.7,"The little boy and dog put frog in a jar. They were happy. They go to bed. Next morning, frog not there. Frog went away. Little boy look in shoes. He look everywhere.

The dog look in jar. His head get stuck. They yell for frog. 'Frog, where you?' Dog fall out window. Jar break. Dog lick boy. Boy no happy.

They go to forest. Look for frog. Dog see bumblebees. Boy look down. Little dog play with bumblebees. The boy say 'Frog, where you?' Prairie dog hit him. Dog howl at bumblebees. Bumblebees chase dog.

The boy climb rock. Say 'Frog, where you?' He on deer's head. Deer run. Boy and dog go down cliff. They splash in water. Boy say 'Shh'. Look on log. See mommy frog. See daddy frog. See frog family. They take frog. Say goodbye. Go home. Everyone happy."
