Sentence	MOR_Tier
(th)at's a t(r)ee .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|tree .
girls doe [: go] in (th)ere .	noun|girl-Plur verb|go-Fin-Ind-Pres-P3 adp|in adv|there .
he still tired .	pron|he-Prs-Nom-S3 adv|still adj|tired-S1 .
it's a mummy .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|mummy .
where's (th)e bed gone ?	adv|where~aux|be-Fin-Ind-Pres-S3 det|the-Def-Art noun|bed adj|gone-S1 ?
what should they make ?	pron|what-Int-S1 aux|should-Fin-S pron|they-Prs-Nom-P3 verb|make-Inf-S ?
&-er mummy's doin(g) cooking (th)is .	noun|mummy~aux|be-Fin-Ind-Pres-S3 verb|do-Part-Pres-S verb|cook-Ger-S pron|this-Dem-S1 .
(th)is is a xxx t(r)ees .	pron|this-Dem-S1 aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|tree-Plur .
they all t(r)ee there .	pron|they-Prs-Nom-P3 det|all-Def-Tot verb|tree-Fin-Ind-Pres-P3 adv|there .
(th)at she's doin(g) on her .	sconj|that pron|she-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|do-Part-Pres-S adp|on pron|her-Prs-Acc-S3 .
she call(ed) girl now .	pron|she-Prs-Nom-S3 verb|call-Fin-Ind-Past-S3 noun|girl-Acc adv|now .
that's a mummy on the chair xxx .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|mummy adp|on det|the-Def-Art noun|chair .
&~aw don't put it on chairs !	aux|do-Fin-Imp-S~part|not verb|put-Fin-Imp-S pron|it-Prs-Acc-S3 adp|on noun|chair-Plur !
that xxx outside xxx .	pron|that-Dem adv|outside .
not play &~a:h the boy sit in (th)ere .	part|not verb|play-Fin-Imp-S det|the-Def-Art noun|boy-Acc verb|sit-Fin-Imp-S adp|in adv|there .
is that mummy bed .	aux|be-Fin-Ind-Pres-S3 det|that-Def-Dem-Sing noun|mummy noun|bed .
